
http://allegro.pl/telefony-komorkowe-165?ref=electronics-layer-popular&offerTypeBuyNow=1&a_enum[12271][8]=8&a_enum[23608][3]=3&price_from=480&price_enabled=1&price_to=650





Improvements				ulepszenia
affected				dotknięty
amend				emend	zmiany
pick					wybrać
pick up					pognieść
take up					trwać
mandatory 				obowiązkowe
intended to 				w zamierzeniu
bring					przynieść
relative				względnie
shall					powinien
w celu					in order to
propagate			rozprzestrzeniać
above					powyżej
below					poniżej
promote					promować
doceniać				appreciate
kindly					uprzejmie
occur					wystepują
determine				określa
własciwe				appropriate 
pominięte				omitted 
wykorzystać				utilise 
poręcznie				handy 
zbierać gromadzić			gather 
krótki					brief
zwężenie				narrowing
przeszkadzać				disturb
